NumTree,Gender,Delta_Learning_Minutes,Age,Number_of_bridges,Number_of_nodes,depth,Accuracy,correct_model,correct_real
1,Male,1.4,28,2,1,1,60,1,0.583333333
3,Male,1.483333333,36,26,10,4,89,0.25,0.166666667
1,Female,1.8,43,2,1,1,60,1,0.583333333
4,Female,0.85,37,4,2,2,68,0.5,0.666666667
5,Male,0.433333333,30,5,2,2,75,0.5,0.416666667
1,Male,0.416666667,57,2,1,1,60,0.5,0.25
4,Female,3.416666667,27,4,2,2,68,1,0.666666667
3,Male,1.316666667,,26,10,4,89,0.583333333,0.666666667
2,Female,2.716666667,54,7,3,2,80,0.833333333,0.833333333
3,Male,0.433333333,24,26,10,4,89,0.5,0.583333333
2,Male,3.783333333,41,7,3,2,80,1,0.833333333
1,Male,3.383333333,41,2,1,1,60,1,0.583333333
1,Male,0.616666667,55,2,1,1,60,0.75,0.5
4,Female,2.133333333,44,4,2,2,68,0.666666667,0.5
5,Female,2.583333333,35,5,2,2,75,0.833333333,0.583333333
1,Female,3.716666667,60,2,1,1,60,1,0.583333333
4,Female,3.05,55,4,2,2,68,1,0.666666667
4,Male,1.666666667,32,4,2,2,68,1,0.666666667
3,Female,0.8,32,26,10,4,89,0.416666667,0.333333333
3,Female,0.833333333,36,26,10,4,89,0.416666667,0.333333333
4,Female,1.916666667,63,4,2,2,68,1,0.666666667
4,Female,7.566666667,57,4,2,2,68,0.916666667,0.583333333
1,Male,0.933333333,40,2,1,1,60,1,0.583333333
2,Male,2.55,67,7,3,2,80,0.75,0.666666667
3,Male,0.866666667,24,26,10,4,89,0.416666667,0.5
4,Male,3.05,29,4,2,2,68,0.583333333,0.416666667
5,Female,1.016666667,30,5,2,2,75,1,0.75
5,Female,2.216666667,47,5,2,2,75,0.916666667,0.833333333
2,Female,0.666666667,45,7,3,2,80,0.75,0.583333333
5,Male,0.466666667,29,5,2,2,75,0.5,0.5
5,Male,1.466666667,48,5,2,2,75,0.416666667,0.333333333
5,Female,0.9,28,5,2,2,75,1,0.75
3,Female,5.066666667,57,26,10,4,89,0.75,0.666666667
5,Female,2.583333333,58,5,2,2,75,0.416666667,0.333333333
2,Male,0.816666667,31,7,3,2,80,0.75,0.583333333
4,Female,1.166666667,43,4,2,2,68,1,0.666666667
1,Female,1.1,28,2,1,1,60,0.916666667,0.5
1,Female,0.833333333,36,2,1,1,60,1,0.583333333
5,Female,1.016666667,44,5,2,2,75,0.833333333,0.583333333
2,Male,0.566666667,58,7,3,2,80,0.666666667,0.666666667
2,Male,0.55,31,7,3,2,80,0.416666667,0.416666667
3,Female,1.983333333,38,26,10,4,89,0.5,0.416666667
4,Female,0.8,45,4,2,2,68,1,0.666666667
4,Female,1.133333333,29,4,2,2,68,0.75,0.583333333
5,Male,2.083333333,43,5,2,2,75,1,0.75
3,Male,2.033333333,25,26,10,4,89,0.666666667,0.583333333
1,Male,0.716666667,25,2,1,1,60,0.583333333,0.333333333
4,Male,1.15,29,4,2,2,68,0.666666667,0.333333333
4,Female,1.2,37,4,2,2,68,0.5,0.5
1,Female,0.5,25,2,1,1,60,1,0.583333333
1,Female,0.716666667,35,2,1,1,60,1,0.583333333
4,Male,0.866666667,29,4,2,2,68,0.666666667,0.5
1,Male,1.75,67,2,1,1,60,1,0.583333333
3,Male,1.166666667,43,26,10,4,89,0.583333333,0.5
3,Male,0.5,59,26,10,4,89,0.416666667,0.333333333
2,Male,0.916666667,46,7,3,2,80,0.583333333,0.416666667
5,Male,0.766666667,33,5,2,2,75,0.5,0.416666667
3,Male,1.85,25,26,10,4,89,0.583333333,0.5
1,Male,3.75,35,2,1,1,60,0.916666667,0.666666667
1,Male,0.55,51,2,1,1,60,1,0.583333333
4,Female,0.833333333,58,4,2,2,68,0.75,0.583333333
5,Female,1.8,47,5,2,2,75,0.416666667,0.333333333
2,Female,2.15,56,7,3,2,80,0.583333333,0.583333333
1,Female,0.683333333,40,2,1,1,60,1,0.583333333
2,Male,1.233333333,26,7,3,2,80,1,0.833333333
2,Female,3.016666667,69,7,3,2,80,1,0.833333333
4,Female,1.1,44,4,2,2,68,1,0.666666667
2,Male,1.883333333,38,7,3,2,80,1,0.833333333
4,Male,0.766666667,24,4,2,2,68,0.5,0.416666667
2,Male,3.033333333,47,7,3,2,80,1,0.833333333
2,Male,6.15,30,7,3,2,80,0.75,0.583333333
2,Male,0.683333333,55,7,3,2,80,0.416666667,0.25
2,Male,0.766666667,34,7,3,2,80,0.916666667,0.75
2,Female,7.05,35,7,3,2,80,0.416666667,0.333333333
2,Female,3.05,35,7,3,2,80,1,0.833333333
4,Male,2.366666667,29,4,2,2,68,0.75,0.416666667
3,Male,0.766666667,57,26,10,4,89,0.416666667,0.5
5,Female,1.483333333,30,5,2,2,75,0.916666667,0.833333333
5,Female,1.483333333,31,5,2,2,75,1,0.75
2,Male,2.7,48,7,3,2,80,0.5,0.5
2,Female,0.416666667,26,7,3,2,80,0.583333333,0.416666667
4,Male,1.166666667,40,4,2,2,68,1,0.666666667
5,Male,1.383333333,42,5,2,2,75,0.5,0.416666667
1,Female,2.133333333,42,2,1,1,60,1,0.583333333
3,Male,2.35,47,26,10,4,89,0.666666667,0.583333333
4,Male,4.216666667,43,4,2,2,68,1,0.666666667
3,Male,1,35,26,10,4,89,0.666666667,0.583333333
5,Female,1.483333333,46,5,2,2,75,1,0.75
2,Male,2.133333333,30,7,3,2,80,0.916666667,0.75
4,Female,2.45,31,4,2,2,68,1,0.666666667
2,Male,1.466666667,28,7,3,2,80,0.75,0.583333333
3,Male,3.016666667,37,26,10,4,89,0.916666667,1
4,Male,0.816666667,45,4,2,2,68,1,0.666666667
1,Female,0.416666667,38,2,1,1,60,1,0.583333333
4,Female,1.266666667,52,4,2,2,68,1,0.666666667
4,Male,1.666666667,37,4,2,2,68,1,0.666666667
4,Male,0.766666667,39,4,2,2,68,1,0.666666667
2,Male,1.283333333,37,7,3,2,80,0.416666667,0.583333333
5,Female,0.516666667,29,5,2,2,75,0.583333333,0.5
4,Female,1.966666667,40,4,2,2,68,0.666666667,0.416666667
3,Male,2.866666667,25,26,10,4,89,0.666666667,0.583333333
2,Male,1.85,59,7,3,2,80,0.583333333,0.416666667
1,Female,1.783333333,57,2,1,1,60,1,0.583333333
3,Male,2.95,41,26,10,4,89,0.583333333,0.5
3,Male,1.183333333,58,26,10,4,89,0.5,0.416666667
2,Female,2.6,34,7,3,2,80,1,0.833333333
2,Male,2.033333333,48,7,3,2,80,0.583333333,0.583333333
2,Male,1.416666667,25,7,3,2,80,0.916666667,0.75
5,Male,0.75,43,5,2,2,75,1,0.75
1,Female,1.7,25,2,1,1,60,1,0.583333333
1,Male,0.566666667,25,2,1,1,60,0.583333333,0.5
2,Female,1.666666667,35,7,3,2,80,1,0.833333333
2,Female,2.15,36,7,3,2,80,0.833333333,0.666666667
3,Male,0.5,41,26,10,4,89,0.666666667,0.583333333
1,Female,1.15,35,2,1,1,60,1,0.583333333
5,Male,1.416666667,35,5,2,2,75,0.916666667,0.666666667
5,Female,1.616666667,30,5,2,2,75,1,0.75
1,Female,1.016666667,24,2,1,1,60,0.416666667,0.5
4,Male,1.05,33,4,2,2,68,1,0.666666667
5,Male,2.583333333,32,5,2,2,75,1,0.75
3,Female,0.833333333,32,26,10,4,89,0.666666667,0.75
1,Female,2.116666667,56,2,1,1,60,1,0.583333333
1,Male,1,48,2,1,1,60,1,0.583333333
2,Male,2.216666667,34,7,3,2,80,0.416666667,0.416666667
3,Male,1.65,35,26,10,4,89,0.583333333,0.5
4,Male,0.733333333,30,4,2,2,68,0.583333333,0.25
2,Female,2.783333333,45,7,3,2,80,0.833333333,0.666666667
2,Male,1.083333333,34,7,3,2,80,1,0.833333333
3,Female,0.666666667,35,26,10,4,89,0.583333333,0.5
5,Female,2.3,31,5,2,2,75,0.916666667,0.666666667
3,Female,1.566666667,50,26,10,4,89,0.5,0.416666667
5,Female,2.033333333,45,5,2,2,75,0.916666667,0.666666667
4,Male,0.55,42,4,2,2,68,0.666666667,0.5
3,Female,2.4,33,26,10,4,89,0.5,0.583333333
1,Male,2.05,44,2,1,1,60,1,0.583333333
3,Female,2.783333333,33,26,10,4,89,1,0.916666667
5,Female,1.35,37,5,2,2,75,1,0.75
5,Female,3.1,36,5,2,2,75,0.833333333,0.583333333
5,Female,1.8,45,5,2,2,75,1,0.75
2,Male,2.766666667,42,7,3,2,80,1,0.833333333
3,Male,1.15,52,26,10,4,89,0.583333333,0.5
2,Female,1.5,51,7,3,2,80,1,0.833333333
5,Female,2,46,5,2,2,75,1,0.75
2,Female,2.35,38,7,3,2,80,1,0.833333333
1,Male,1.216666667,43,2,1,1,60,1,0.583333333
2,Female,0.933333333,51,7,3,2,80,0.416666667,0.416666667
5,Female,3.066666667,37,5,2,2,75,0.75,0.5
1,Female,2.15,47,2,1,1,60,1,0.583333333
3,Male,0.766666667,29,26,10,4,89,0.5,0.416666667
1,Female,0.966666667,42,2,1,1,60,1,0.583333333
4,Male,1.533333333,31,4,2,2,68,1,0.666666667
3,Male,2.35,23,26,10,4,89,0.5,0.416666667
2,Female,0.683333333,57,7,3,2,80,0.25,0.25
5,Male,2.083333333,30,5,2,2,75,0.583333333,0.333333333
4,Male,4.2,45,4,2,2,68,1,0.666666667
5,Male,2.2,54,5,2,2,75,1,0.75
1,Female,0.783333333,67,2,1,1,60,0.666666667,0.416666667
3,Male,1.316666667,25,26,10,4,89,0.75,0.666666667
3,Female,0.683333333,37,26,10,4,89,0.5,0.583333333
1,Female,0.533333333,24,2,1,1,60,0.583333333,0.5
3,Male,2.7,35,26,10,4,89,0.5,0.416666667
4,Female,1.266666667,48,4,2,2,68,1,0.666666667
2,Male,0.716666667,25,7,3,2,80,0.416666667,0.583333333
5,Female,1.833333333,35,5,2,2,75,0.833333333,0.583333333
3,Male,2.6,35,26,10,4,89,0.5,0.416666667
4,Female,2.65,30,4,2,2,68,0.833333333,0.5
3,Male,1.033333333,36,26,10,4,89,0.5,0.583333333
4,Female,1.316666667,37,4,2,2,68,0.583333333,0.25
3,Female,2.616666667,26,26,10,4,89,0.833333333,0.75
5,Male,4.316666667,33,5,2,2,75,1,0.75
1,Female,0.45,48,2,1,1,60,0.833333333,0.416666667
1,Female,1.433333333,,2,1,1,60,1,0.583333333
3,Male,1.416666667,49,26,10,4,89,0.666666667,0.583333333
1,Male,0.466666667,67,2,1,1,60,0.916666667,0.583333333
2,Female,1.683333333,30,7,3,2,80,0.916666667,0.75
2,Male,4.1,77,7,3,2,80,0.75,0.75
4,Male,1.3,36,4,2,2,68,0.666666667,0.333333333
1,Female,1.283333333,67,2,1,1,60,1,0.583333333
1,Female,0.616666667,56,2,1,1,60,0.833333333,0.583333333
3,Female,4.366666667,32,26,10,4,89,0.5,0.416666667
5,Female,1.55,64,5,2,2,75,1,0.75
2,Female,0.433333333,33,7,3,2,80,0.583333333,0.5
5,Male,1.866666667,32,5,2,2,75,1,0.75
4,Male,0.416666667,30,4,2,2,68,0.5,0.5
3,Female,1,63,26,10,4,89,0.75,0.666666667
1,Female,0.766666667,48,2,1,1,60,0.75,0.666666667
4,Female,0.5,63,4,2,2,68,0.916666667,0.583333333
2,Male,2.1,36,7,3,2,80,1,0.833333333
3,Male,0.8,25,26,10,4,89,0.5,0.416666667
5,Female,0.516666667,37,5,2,2,75,0.833333333,0.583333333
4,Male,2.933333333,41,4,2,2,68,1,0.666666667
3,Female,0.516666667,35,26,10,4,89,0.416666667,0.416666667
4,Female,0.95,31,4,2,2,68,0.916666667,0.583333333
4,Female,1.066666667,27,4,2,2,68,1,0.666666667
2,Male,0.683333333,,7,3,2,80,0.583333333,0.583333333
5,Male,1.183333333,36,5,2,2,75,1,0.75
4,Male,0.633333333,37,4,2,2,68,0.666666667,0.5
2,Male,2.466666667,54,7,3,2,80,1,0.833333333
3,Female,6.2,54,26,10,4,89,0.5,0.5
