NumTree,correct_real,Gender,Delta_Learning_Minutes,Age,Number_of_bridges,Number_of_nodes,depth,Accuracy,correct_model
2,0.833333333,Male,0.566666667,29,4,2,2,80,1
1,0.75,Female,1.216666667,68,2,1,1,72,0.916666667
4,0.583333333,Female,0.333333333,35,10,5,4,82,0.583333333
1,0.75,Female,0.783333333,65,2,1,1,72,1
3,0.833333333,Male,0.85,36,6,3,3,81,1
3,0.833333333,Female,0.416666667,35,6,3,3,81,0.833333333
1,0.75,Male,0.716666667,30,2,1,1,72,1
4,0.416666667,Male,0.883333333,26,10,5,4,82,0.583333333
1,0.75,Male,0.4,39,2,1,1,72,1
2,0.5,Male,0.766666667,35,4,2,2,80,0.5
1,0.75,Male,0.533333333,34,2,1,1,72,1
1,0.75,Male,1.65,46,2,1,1,72,1
2,0.833333333,Male,4.433333333,33,4,2,2,80,1
4,0.75,Male,0.833333333,50,10,5,4,82,0.583333333
1,0.75,Female,0.783333333,36,2,1,1,72,1
1,0.583333333,Female,0.116666667,46,2,1,1,72,0.583333333
4,0.583333333,Female,1.4,30,10,5,4,82,0.583333333
2,0.75,Female,0.4,35,4,2,2,80,0.75
4,0.5,Male,0.716666667,36,10,5,4,82,0.666666667
4,0.5,Female,0.266666667,30,10,5,4,82,0.5
1,0.75,Male,0.366666667,50,2,1,1,72,1
2,0.833333333,Female,1.75,58,4,2,2,80,1
2,0.833333333,Male,2.45,69,4,2,2,80,1
1,0.75,Male,2.366666667,25,2,1,1,72,1
1,0.75,Female,1.016666667,25,2,1,1,72,1
1,0.75,Female,0.433333333,35,2,1,1,72,1
1,0.75,Male,1.116666667,44,2,1,1,72,1
2,0.833333333,Female,1.766666667,25,4,2,2,80,1
3,0.583333333,Female,0.083333333,35,6,3,3,81,0.583333333
1,0.75,Female,0.5,25,2,1,1,72,1
2,0.833333333,Male,1.1,38,4,2,2,80,1
1,0.666666667,Male,0.716666667,45,2,1,1,72,0.666666667
1,0.75,Female,1.216666667,35,2,1,1,72,1
3,0.833333333,Male,1.366666667,46,6,3,3,81,1
2,0.5,Male,3.433333333,29,4,2,2,80,0.583333333
4,0.75,Male,0.933333333,29,10,5,4,82,0.75
1,0.75,Male,0.483333333,39,2,1,1,72,1
4,0.583333333,Male,0.283333333,29,10,5,4,82,0.416666667
2,0.833333333,Male,1.833333333,50,4,2,2,80,1
2,0.833333333,Male,1.166666667,51,4,2,2,80,1
2,0.666666667,Female,0.916666667,50,4,2,2,80,0.833333333
2,0.833333333,Female,0.6,32,4,2,2,80,1
3,0.833333333,Female,1.516666667,40,6,3,3,81,1
2,0.583333333,Female,0.216666667,50,4,2,2,80,0.583333333
2,0.833333333,Female,1.7,48,4,2,2,80,1
3,0.666666667,Female,0.116666667,30,6,3,3,81,0.5
4,0.666666667,Female,1.4,30,10,5,4,82,0.833333333
4,0.75,Male,1.916666667,50,10,5,4,82,0.916666667
4,0.583333333,Female,0.45,35,10,5,4,82,0.75
3,0.833333333,Male,1.033333333,37,6,3,3,81,1
1,0.75,Male,0.9,40,2,1,1,72,1
1,0.75,Male,7.5,34,2,1,1,72,1
2,0.666666667,Male,0.25,41,4,2,2,80,0.666666667
4,0.333333333,Female,1.683333333,30,10,5,4,82,0.5
2,0.833333333,Female,1.2,46,4,2,2,80,1
4,0.416666667,Male,0.416666667,33,10,5,4,82,0.416666667
3,0.416666667,Male,0.266666667,59,6,3,3,81,0.583333333
1,0.75,Male,1.583333333,25,2,1,1,72,1
1,0.333333333,Male,0.633333333,25,2,1,1,72,0.416666667
3,0.833333333,Female,1.65,40,6,3,3,81,1
2,0.666666667,Female,0.566666667,37,4,2,2,80,0.833333333
1,0.083333333,Male,0.15,58,2,1,1,72,0.333333333
1,0.75,Male,0.7,34,2,1,1,72,1
3,0.5,Male,0.333333333,35,6,3,3,81,0.5
1,0.666666667,Male,0.4,35,2,1,1,72,0.75
1,0.5,Female,0.383333333,35,2,1,1,72,0.75
1,0.75,Male,0.95,54,2,1,1,72,1
4,0.666666667,Female,0.866666667,35,10,5,4,82,0.666666667
4,0.666666667,Female,2.916666667,30,10,5,4,82,0.666666667
2,0.833333333,Female,0.933333333,30,4,2,2,80,1
2,0.75,Female,0.366666667,35,4,2,2,80,0.583333333
4,0.416666667,Female,4.183333333,30,10,5,4,82,0.583333333
4,0.416666667,Male,7.566666667,31,10,5,4,82,0.583333333
3,0.5,Female,0.083333333,35,6,3,3,81,0.5
4,0.583333333,Male,0.966666667,32,10,5,4,82,0.416666667
3,0.75,Male,1.016666667,58,6,3,3,81,0.916666667
1,0.75,Male,1.016666667,45,2,1,1,72,1
3,0.75,Female,1.083333333,30,6,3,3,81,0.916666667
3,0.833333333,Female,2.866666667,,6,3,3,81,1
4,0.75,Female,1.966666667,41,10,5,4,82,0.916666667
2,0.833333333,Male,1.4,36,4,2,2,80,1
4,0.583333333,Male,1.033333333,35,10,5,4,82,0.75
3,0.75,Male,0.216666667,35,6,3,3,81,0.583333333
3,0.75,Male,5.066666667,31,6,3,3,81,0.916666667
2,0.5,Female,0.5,64,4,2,2,80,0.666666667
4,0.75,Female,3.833333333,38,10,5,4,82,0.75
3,0.333333333,Male,0.35,35,6,3,3,81,0.5
4,0.5,Female,2.083333333,22,10,5,4,82,0.5
2,0.5,Male,2.516666667,25,4,2,2,80,0.5
3,0.75,Female,1.233333333,30,6,3,3,81,0.916666667
2,0.833333333,Female,0.683333333,36,4,2,2,80,1
1,0.75,Male,0.45,,2,1,1,72,1
4,0.833333333,Male,3.383333333,59,10,5,4,82,1
3,0.416666667,Female,3.316666667,36,6,3,3,81,0.25
2,0.416666667,Male,0.85,29,4,2,2,80,0.583333333
1,0.75,Male,2.2,45,2,1,1,72,1
3,0.333333333,Male,1.35,27,6,3,3,81,0.333333333
2,0.333333333,Male,0.783333333,30,4,2,2,80,0.5
3,0.666666667,Male,0.066666667,35,6,3,3,81,0.666666667
4,0.833333333,Female,3.55,56,10,5,4,82,1
1,0.666666667,Female,0.733333333,25,2,1,1,72,0.75
1,0.333333333,Female,1.066666667,30,2,1,1,72,0.333333333
1,0.5,Male,0.283333333,35,2,1,1,72,0.583333333
4,0.416666667,Female,0.583333333,35,10,5,4,82,0.583333333
1,0.25,Male,0.816666667,25,2,1,1,72,0.5
1,0.75,Female,1.133333333,25,2,1,1,72,1
4,0.583333333,Male,0.733333333,65,10,5,4,82,0.583333333
2,0.333333333,Male,0.6,35,4,2,2,80,0.5
3,0.333333333,Male,0.2,35,6,3,3,81,0.25
3,0.833333333,Male,1.783333333,35,6,3,3,81,1
3,0.75,Male,0.75,35,6,3,3,81,0.916666667
3,0.75,Female,1.05,25,6,3,3,81,0.916666667
2,0.833333333,Male,1.116666667,37,4,2,2,80,1
4,0.666666667,Female,3.716666667,,10,5,4,82,0.833333333
1,0.666666667,Female,0.7,32,2,1,1,72,0.916666667
3,0.583333333,Male,0.083333333,35,6,3,3,81,0.416666667
3,0.833333333,Female,1.65,64,6,3,3,81,1
3,0.666666667,Female,2.283333333,35,6,3,3,81,0.5
1,0.75,Female,0.416666667,35,2,1,1,72,1
1,0.75,Male,0.533333333,36,2,1,1,72,1
3,0.583333333,Male,0.316666667,39,6,3,3,81,0.416666667
2,0.833333333,Female,1.683333333,57,4,2,2,80,1
2,0.833333333,Female,0.45,34,4,2,2,80,1
3,0.833333333,Female,1.983333333,61,6,3,3,81,1
