NumTree,Number_bridges_Of_Question_i,Gender,Age,Number_of_bridges,Delta_Learning_Minutes,depth,Accuracy,correct_model,QuestionId
1,1,Male,25,2,0.633333333,1,72,1,1
1,1,Male,25,2,0.633333333,1,72,1,2
1,1,Male,25,2,0.633333333,1,72,1,3
1,1,Male,25,2,0.633333333,1,72,0,4
1,1,Male,25,2,0.633333333,1,72,0,5
1,1,Male,25,2,0.633333333,1,72,1,6
1,1,Male,25,2,0.633333333,1,72,0,7
1,1,Male,25,2,0.633333333,1,72,0,8
1,1,Male,25,2,0.633333333,1,72,0,9
1,1,Male,25,2,0.633333333,1,72,0,10
1,1,Male,25,2,0.633333333,1,72,1,11
1,1,Male,25,2,0.633333333,1,72,0,12
1,1,Male,36,2,0.533333333,1,72,1,1
1,1,Male,36,2,0.533333333,1,72,1,2
1,1,Male,36,2,0.533333333,1,72,1,3
1,1,Male,36,2,0.533333333,1,72,1,4
1,1,Male,36,2,0.533333333,1,72,1,5
1,1,Male,36,2,0.533333333,1,72,1,6
1,1,Male,36,2,0.533333333,1,72,1,7
1,1,Male,36,2,0.533333333,1,72,1,8
1,1,Male,36,2,0.533333333,1,72,1,9
1,1,Male,36,2,0.533333333,1,72,1,10
1,1,Male,36,2,0.533333333,1,72,1,11
1,1,Male,36,2,0.533333333,1,72,1,12
1,1,Female,35,2,1.216666667,1,72,1,1
1,1,Female,35,2,1.216666667,1,72,1,2
1,1,Female,35,2,1.216666667,1,72,1,3
1,1,Female,35,2,1.216666667,1,72,1,4
1,1,Female,35,2,1.216666667,1,72,1,5
1,1,Female,35,2,1.216666667,1,72,1,6
1,1,Female,35,2,1.216666667,1,72,1,7
1,1,Female,35,2,1.216666667,1,72,1,8
1,1,Female,35,2,1.216666667,1,72,1,9
1,1,Female,35,2,1.216666667,1,72,1,10
1,1,Female,35,2,1.216666667,1,72,1,11
1,1,Female,35,2,1.216666667,1,72,1,12
1,1,Male,39,2,0.483333333,1,72,1,1
1,1,Male,39,2,0.483333333,1,72,1,2
1,1,Male,39,2,0.483333333,1,72,1,3
1,1,Male,39,2,0.483333333,1,72,1,4
1,1,Male,39,2,0.483333333,1,72,1,5
1,1,Male,39,2,0.483333333,1,72,1,6
1,1,Male,39,2,0.483333333,1,72,1,7
1,1,Male,39,2,0.483333333,1,72,1,8
1,1,Male,39,2,0.483333333,1,72,1,9
1,1,Male,39,2,0.483333333,1,72,1,10
1,1,Male,39,2,0.483333333,1,72,1,11
1,1,Male,39,2,0.483333333,1,72,1,12
1,1,Male,39,2,0.4,1,72,1,1
1,1,Male,39,2,0.4,1,72,1,2
1,1,Male,39,2,0.4,1,72,1,3
1,1,Male,39,2,0.4,1,72,1,4
1,1,Male,39,2,0.4,1,72,1,5
1,1,Male,39,2,0.4,1,72,1,6
1,1,Male,39,2,0.4,1,72,1,7
1,1,Male,39,2,0.4,1,72,1,8
1,1,Male,39,2,0.4,1,72,1,9
1,1,Male,39,2,0.4,1,72,1,10
1,1,Male,39,2,0.4,1,72,1,11
1,1,Male,39,2,0.4,1,72,1,12
1,1,Male,46,2,1.65,1,72,1,1
1,1,Male,46,2,1.65,1,72,1,2
1,1,Male,46,2,1.65,1,72,1,3
1,1,Male,46,2,1.65,1,72,1,4
1,1,Male,46,2,1.65,1,72,1,5
1,1,Male,46,2,1.65,1,72,1,6
1,1,Male,46,2,1.65,1,72,1,7
1,1,Male,46,2,1.65,1,72,1,8
1,1,Male,46,2,1.65,1,72,1,9
1,1,Male,46,2,1.65,1,72,1,10
1,1,Male,46,2,1.65,1,72,1,11
1,1,Male,46,2,1.65,1,72,1,12
1,1,Female,25,2,0.733333333,1,72,1,1
1,1,Female,25,2,0.733333333,1,72,1,2
1,1,Female,25,2,0.733333333,1,72,1,3
1,1,Female,25,2,0.733333333,1,72,0,4
1,1,Female,25,2,0.733333333,1,72,0,5
1,1,Female,25,2,0.733333333,1,72,0,6
1,1,Female,25,2,0.733333333,1,72,1,7
1,1,Female,25,2,0.733333333,1,72,1,8
1,1,Female,25,2,0.733333333,1,72,1,9
1,1,Female,25,2,0.733333333,1,72,1,10
1,1,Female,25,2,0.733333333,1,72,1,11
1,1,Female,25,2,0.733333333,1,72,1,12
1,1,Male,25,2,0.816666667,1,72,0,1
1,1,Male,25,2,0.816666667,1,72,0,2
1,1,Male,25,2,0.816666667,1,72,0,3
1,1,Male,25,2,0.816666667,1,72,0,4
1,1,Male,25,2,0.816666667,1,72,1,5
1,1,Male,25,2,0.816666667,1,72,1,6
1,1,Male,25,2,0.816666667,1,72,0,7
1,1,Male,25,2,0.816666667,1,72,0,8
1,1,Male,25,2,0.816666667,1,72,1,9
1,1,Male,25,2,0.816666667,1,72,1,10
1,1,Male,25,2,0.816666667,1,72,1,11
1,1,Male,25,2,0.816666667,1,72,1,12
1,1,Male,58,2,0.15,1,72,1,1
1,1,Male,58,2,0.15,1,72,0,2
1,1,Male,58,2,0.15,1,72,0,3
1,1,Male,58,2,0.15,1,72,0,4
1,1,Male,58,2,0.15,1,72,0,5
1,1,Male,58,2,0.15,1,72,1,6
1,1,Male,58,2,0.15,1,72,0,7
1,1,Male,58,2,0.15,1,72,0,8
1,1,Male,58,2,0.15,1,72,1,9
1,1,Male,58,2,0.15,1,72,0,10
1,1,Male,58,2,0.15,1,72,1,11
1,1,Male,58,2,0.15,1,72,0,12
1,1,Female,35,2,0.383333333,1,72,1,1
1,1,Female,35,2,0.383333333,1,72,1,2
1,1,Female,35,2,0.383333333,1,72,1,3
1,1,Female,35,2,0.383333333,1,72,0,4
1,1,Female,35,2,0.383333333,1,72,1,5
1,1,Female,35,2,0.383333333,1,72,1,6
1,1,Female,35,2,0.383333333,1,72,0,7
1,1,Female,35,2,0.383333333,1,72,1,8
1,1,Female,35,2,0.383333333,1,72,1,9
1,1,Female,35,2,0.383333333,1,72,1,10
1,1,Female,35,2,0.383333333,1,72,1,11
1,1,Female,35,2,0.383333333,1,72,0,12
1,1,Female,35,2,0.416666667,1,72,1,1
1,1,Female,35,2,0.416666667,1,72,1,2
1,1,Female,35,2,0.416666667,1,72,1,3
1,1,Female,35,2,0.416666667,1,72,1,4
1,1,Female,35,2,0.416666667,1,72,1,5
1,1,Female,35,2,0.416666667,1,72,1,6
1,1,Female,35,2,0.416666667,1,72,1,7
1,1,Female,35,2,0.416666667,1,72,1,8
1,1,Female,35,2,0.416666667,1,72,1,9
1,1,Female,35,2,0.416666667,1,72,1,10
1,1,Female,35,2,0.416666667,1,72,1,11
1,1,Female,35,2,0.416666667,1,72,1,12
1,1,Female,46,2,0.116666667,1,72,1,1
1,1,Female,46,2,0.116666667,1,72,1,2
1,1,Female,46,2,0.116666667,1,72,1,3
1,1,Female,46,2,0.116666667,1,72,0,4
1,1,Female,46,2,0.116666667,1,72,1,5
1,1,Female,46,2,0.116666667,1,72,0,6
1,1,Female,46,2,0.116666667,1,72,0,7
1,1,Female,46,2,0.116666667,1,72,1,8
1,1,Female,46,2,0.116666667,1,72,1,9
1,1,Female,46,2,0.116666667,1,72,0,10
1,1,Female,46,2,0.116666667,1,72,0,11
1,1,Female,46,2,0.116666667,1,72,1,12
1,1,Male,34,2,7.5,1,72,1,1
1,1,Male,34,2,7.5,1,72,1,2
1,1,Male,34,2,7.5,1,72,1,3
1,1,Male,34,2,7.5,1,72,1,4
1,1,Male,34,2,7.5,1,72,1,5
1,1,Male,34,2,7.5,1,72,1,6
1,1,Male,34,2,7.5,1,72,1,7
1,1,Male,34,2,7.5,1,72,1,8
1,1,Male,34,2,7.5,1,72,1,9
1,1,Male,34,2,7.5,1,72,1,10
1,1,Male,34,2,7.5,1,72,1,11
1,1,Male,34,2,7.5,1,72,1,12
1,1,Male,45,2,0.716666667,1,72,1,1
1,1,Male,45,2,0.716666667,1,72,1,2
1,1,Male,45,2,0.716666667,1,72,1,3
1,1,Male,45,2,0.716666667,1,72,0,4
1,1,Male,45,2,0.716666667,1,72,0,5
1,1,Male,45,2,0.716666667,1,72,1,6
1,1,Male,45,2,0.716666667,1,72,1,7
1,1,Male,45,2,0.716666667,1,72,1,8
1,1,Male,45,2,0.716666667,1,72,0,9
1,1,Male,45,2,0.716666667,1,72,1,10
1,1,Male,45,2,0.716666667,1,72,0,11
1,1,Male,45,2,0.716666667,1,72,1,12
1,1,Female,25,2,1.133333333,1,72,1,1
1,1,Female,25,2,1.133333333,1,72,1,2
1,1,Female,25,2,1.133333333,1,72,1,3
1,1,Female,25,2,1.133333333,1,72,1,4
1,1,Female,25,2,1.133333333,1,72,1,5
1,1,Female,25,2,1.133333333,1,72,1,6
1,1,Female,25,2,1.133333333,1,72,1,7
1,1,Female,25,2,1.133333333,1,72,1,8
1,1,Female,25,2,1.133333333,1,72,1,9
1,1,Female,25,2,1.133333333,1,72,1,10
1,1,Female,25,2,1.133333333,1,72,1,11
1,1,Female,25,2,1.133333333,1,72,1,12
1,1,Female,25,2,1.016666667,1,72,1,1
1,1,Female,25,2,1.016666667,1,72,1,2
1,1,Female,25,2,1.016666667,1,72,1,3
1,1,Female,25,2,1.016666667,1,72,1,4
1,1,Female,25,2,1.016666667,1,72,1,5
1,1,Female,25,2,1.016666667,1,72,1,6
1,1,Female,25,2,1.016666667,1,72,1,7
1,1,Female,25,2,1.016666667,1,72,1,8
1,1,Female,25,2,1.016666667,1,72,1,9
1,1,Female,25,2,1.016666667,1,72,1,10
1,1,Female,25,2,1.016666667,1,72,1,11
1,1,Female,25,2,1.016666667,1,72,1,12
1,1,Female,25,2,0.5,1,72,1,1
1,1,Female,25,2,0.5,1,72,1,2
1,1,Female,25,2,0.5,1,72,1,3
1,1,Female,25,2,0.5,1,72,1,4
1,1,Female,25,2,0.5,1,72,1,5
1,1,Female,25,2,0.5,1,72,1,6
1,1,Female,25,2,0.5,1,72,1,7
1,1,Female,25,2,0.5,1,72,1,8
1,1,Female,25,2,0.5,1,72,1,9
1,1,Female,25,2,0.5,1,72,1,10
1,1,Female,25,2,0.5,1,72,1,11
1,1,Female,25,2,0.5,1,72,1,12
1,1,Female,35,2,0.433333333,1,72,1,1
1,1,Female,35,2,0.433333333,1,72,1,2
1,1,Female,35,2,0.433333333,1,72,1,3
1,1,Female,35,2,0.433333333,1,72,1,4
1,1,Female,35,2,0.433333333,1,72,1,5
1,1,Female,35,2,0.433333333,1,72,1,6
1,1,Female,35,2,0.433333333,1,72,1,7
1,1,Female,35,2,0.433333333,1,72,1,8
1,1,Female,35,2,0.433333333,1,72,1,9
1,1,Female,35,2,0.433333333,1,72,1,10
1,1,Female,35,2,0.433333333,1,72,1,11
1,1,Female,35,2,0.433333333,1,72,1,12
1,1,Male,45,2,2.2,1,72,1,1
1,1,Male,45,2,2.2,1,72,1,2
1,1,Male,45,2,2.2,1,72,1,3
1,1,Male,45,2,2.2,1,72,1,4
1,1,Male,45,2,2.2,1,72,1,5
1,1,Male,45,2,2.2,1,72,1,6
1,1,Male,45,2,2.2,1,72,1,7
1,1,Male,45,2,2.2,1,72,1,8
1,1,Male,45,2,2.2,1,72,1,9
1,1,Male,45,2,2.2,1,72,1,10
1,1,Male,45,2,2.2,1,72,1,11
1,1,Male,45,2,2.2,1,72,1,12
1,1,Female,30,2,1.066666667,1,72,0,1
1,1,Female,30,2,1.066666667,1,72,1,2
1,1,Female,30,2,1.066666667,1,72,1,3
1,1,Female,30,2,1.066666667,1,72,0,4
1,1,Female,30,2,1.066666667,1,72,0,5
1,1,Female,30,2,1.066666667,1,72,1,6
1,1,Female,30,2,1.066666667,1,72,0,7
1,1,Female,30,2,1.066666667,1,72,0,8
1,1,Female,30,2,1.066666667,1,72,0,9
1,1,Female,30,2,1.066666667,1,72,1,10
1,1,Female,30,2,1.066666667,1,72,0,11
1,1,Female,30,2,1.066666667,1,72,0,12
1,1,Male,30,2,0.716666667,1,72,1,1
1,1,Male,30,2,0.716666667,1,72,1,2
1,1,Male,30,2,0.716666667,1,72,1,3
1,1,Male,30,2,0.716666667,1,72,1,4
1,1,Male,30,2,0.716666667,1,72,1,5
1,1,Male,30,2,0.716666667,1,72,1,6
1,1,Male,30,2,0.716666667,1,72,1,7
1,1,Male,30,2,0.716666667,1,72,1,8
1,1,Male,30,2,0.716666667,1,72,1,9
1,1,Male,30,2,0.716666667,1,72,1,10
1,1,Male,30,2,0.716666667,1,72,1,11
1,1,Male,30,2,0.716666667,1,72,1,12
1,1,Male,25,2,1.583333333,1,72,1,1
1,1,Male,25,2,1.583333333,1,72,1,2
1,1,Male,25,2,1.583333333,1,72,1,3
1,1,Male,25,2,1.583333333,1,72,1,4
1,1,Male,25,2,1.583333333,1,72,1,5
1,1,Male,25,2,1.583333333,1,72,1,6
1,1,Male,25,2,1.583333333,1,72,1,7
1,1,Male,25,2,1.583333333,1,72,1,8
1,1,Male,25,2,1.583333333,1,72,1,9
1,1,Male,25,2,1.583333333,1,72,1,10
1,1,Male,25,2,1.583333333,1,72,1,11
1,1,Male,25,2,1.583333333,1,72,1,12
1,1,Male,44,2,1.116666667,1,72,1,1
1,1,Male,44,2,1.116666667,1,72,1,2
1,1,Male,44,2,1.116666667,1,72,1,3
1,1,Male,44,2,1.116666667,1,72,1,4
1,1,Male,44,2,1.116666667,1,72,1,5
1,1,Male,44,2,1.116666667,1,72,1,6
1,1,Male,44,2,1.116666667,1,72,1,7
1,1,Male,44,2,1.116666667,1,72,1,8
1,1,Male,44,2,1.116666667,1,72,1,9
1,1,Male,44,2,1.116666667,1,72,1,10
1,1,Male,44,2,1.116666667,1,72,1,11
1,1,Male,44,2,1.116666667,1,72,1,12
1,1,Female,32,2,0.7,1,72,1,1
1,1,Female,32,2,0.7,1,72,1,2
1,1,Female,32,2,0.7,1,72,1,3
1,1,Female,32,2,0.7,1,72,1,4
1,1,Female,32,2,0.7,1,72,1,5
1,1,Female,32,2,0.7,1,72,1,6
1,1,Female,32,2,0.7,1,72,0,7
1,1,Female,32,2,0.7,1,72,1,8
1,1,Female,32,2,0.7,1,72,1,9
1,1,Female,32,2,0.7,1,72,1,10
1,1,Female,32,2,0.7,1,72,1,11
1,1,Female,32,2,0.7,1,72,1,12
1,1,Male,45,2,1.016666667,1,72,1,1
1,1,Male,45,2,1.016666667,1,72,1,2
1,1,Male,45,2,1.016666667,1,72,1,3
1,1,Male,45,2,1.016666667,1,72,1,4
1,1,Male,45,2,1.016666667,1,72,1,5
1,1,Male,45,2,1.016666667,1,72,1,6
1,1,Male,45,2,1.016666667,1,72,1,7
1,1,Male,45,2,1.016666667,1,72,1,8
1,1,Male,45,2,1.016666667,1,72,1,9
1,1,Male,45,2,1.016666667,1,72,1,10
1,1,Male,45,2,1.016666667,1,72,1,11
1,1,Male,45,2,1.016666667,1,72,1,12
1,1,Male,34,2,0.533333333,1,72,1,1
1,1,Male,34,2,0.533333333,1,72,1,2
1,1,Male,34,2,0.533333333,1,72,1,3
1,1,Male,34,2,0.533333333,1,72,1,4
1,1,Male,34,2,0.533333333,1,72,1,5
1,1,Male,34,2,0.533333333,1,72,1,6
1,1,Male,34,2,0.533333333,1,72,1,7
1,1,Male,34,2,0.533333333,1,72,1,8
1,1,Male,34,2,0.533333333,1,72,1,9
1,1,Male,34,2,0.533333333,1,72,1,10
1,1,Male,34,2,0.533333333,1,72,1,11
1,1,Male,34,2,0.533333333,1,72,1,12
1,1,Male,34,2,0.7,1,72,1,1
1,1,Male,34,2,0.7,1,72,1,2
1,1,Male,34,2,0.7,1,72,1,3
1,1,Male,34,2,0.7,1,72,1,4
1,1,Male,34,2,0.7,1,72,1,5
1,1,Male,34,2,0.7,1,72,1,6
1,1,Male,34,2,0.7,1,72,1,7
1,1,Male,34,2,0.7,1,72,1,8
1,1,Male,34,2,0.7,1,72,1,9
1,1,Male,34,2,0.7,1,72,1,10
1,1,Male,34,2,0.7,1,72,1,11
1,1,Male,34,2,0.7,1,72,1,12
1,1,Female,65,2,0.783333333,1,72,1,1
1,1,Female,65,2,0.783333333,1,72,1,2
1,1,Female,65,2,0.783333333,1,72,1,3
1,1,Female,65,2,0.783333333,1,72,1,4
1,1,Female,65,2,0.783333333,1,72,1,5
1,1,Female,65,2,0.783333333,1,72,1,6
1,1,Female,65,2,0.783333333,1,72,1,7
1,1,Female,65,2,0.783333333,1,72,1,8
1,1,Female,65,2,0.783333333,1,72,1,9
1,1,Female,65,2,0.783333333,1,72,1,10
1,1,Female,65,2,0.783333333,1,72,1,11
1,1,Female,65,2,0.783333333,1,72,1,12
1,1,Male,25,2,2.366666667,1,72,1,1
1,1,Male,25,2,2.366666667,1,72,1,2
1,1,Male,25,2,2.366666667,1,72,1,3
1,1,Male,25,2,2.366666667,1,72,1,4
1,1,Male,25,2,2.366666667,1,72,1,5
1,1,Male,25,2,2.366666667,1,72,1,6
1,1,Male,25,2,2.366666667,1,72,1,7
1,1,Male,25,2,2.366666667,1,72,1,8
1,1,Male,25,2,2.366666667,1,72,1,9
1,1,Male,25,2,2.366666667,1,72,1,10
1,1,Male,25,2,2.366666667,1,72,1,11
1,1,Male,25,2,2.366666667,1,72,1,12
1,1,Male,40,2,0.9,1,72,1,1
1,1,Male,40,2,0.9,1,72,1,2
1,1,Male,40,2,0.9,1,72,1,3
1,1,Male,40,2,0.9,1,72,1,4
1,1,Male,40,2,0.9,1,72,1,5
1,1,Male,40,2,0.9,1,72,1,6
1,1,Male,40,2,0.9,1,72,1,7
1,1,Male,40,2,0.9,1,72,1,8
1,1,Male,40,2,0.9,1,72,1,9
1,1,Male,40,2,0.9,1,72,1,10
1,1,Male,40,2,0.9,1,72,1,11
1,1,Male,40,2,0.9,1,72,1,12
1,1,Male,35,2,0.4,1,72,1,1
1,1,Male,35,2,0.4,1,72,1,2
1,1,Male,35,2,0.4,1,72,1,3
1,1,Male,35,2,0.4,1,72,1,4
1,1,Male,35,2,0.4,1,72,1,5
1,1,Male,35,2,0.4,1,72,0,6
1,1,Male,35,2,0.4,1,72,1,7
1,1,Male,35,2,0.4,1,72,1,8
1,1,Male,35,2,0.4,1,72,1,9
1,1,Male,35,2,0.4,1,72,0,10
1,1,Male,35,2,0.4,1,72,1,11
1,1,Male,35,2,0.4,1,72,0,12
1,1,Male,50,2,0.366666667,1,72,1,1
1,1,Male,50,2,0.366666667,1,72,1,2
1,1,Male,50,2,0.366666667,1,72,1,3
1,1,Male,50,2,0.366666667,1,72,1,4
1,1,Male,50,2,0.366666667,1,72,1,5
1,1,Male,50,2,0.366666667,1,72,1,6
1,1,Male,50,2,0.366666667,1,72,1,7
1,1,Male,50,2,0.366666667,1,72,1,8
1,1,Male,50,2,0.366666667,1,72,1,9
1,1,Male,50,2,0.366666667,1,72,1,10
1,1,Male,50,2,0.366666667,1,72,1,11
1,1,Male,50,2,0.366666667,1,72,1,12
1,1,Male,,2,0.45,1,72,1,1
1,1,Male,,2,0.45,1,72,1,2
1,1,Male,,2,0.45,1,72,1,3
1,1,Male,,2,0.45,1,72,1,4
1,1,Male,,2,0.45,1,72,1,5
1,1,Male,,2,0.45,1,72,1,6
1,1,Male,,2,0.45,1,72,1,7
1,1,Male,,2,0.45,1,72,1,8
1,1,Male,,2,0.45,1,72,1,9
1,1,Male,,2,0.45,1,72,1,10
1,1,Male,,2,0.45,1,72,1,11
1,1,Male,,2,0.45,1,72,1,12
1,1,Male,54,2,0.95,1,72,1,1
1,1,Male,54,2,0.95,1,72,1,2
1,1,Male,54,2,0.95,1,72,1,3
1,1,Male,54,2,0.95,1,72,1,4
1,1,Male,54,2,0.95,1,72,1,5
1,1,Male,54,2,0.95,1,72,1,6
1,1,Male,54,2,0.95,1,72,1,7
1,1,Male,54,2,0.95,1,72,1,8
1,1,Male,54,2,0.95,1,72,1,9
1,1,Male,54,2,0.95,1,72,1,10
1,1,Male,54,2,0.95,1,72,1,11
1,1,Male,54,2,0.95,1,72,1,12
1,1,Female,36,2,0.783333333,1,72,1,1
1,1,Female,36,2,0.783333333,1,72,1,2
1,1,Female,36,2,0.783333333,1,72,1,3
1,1,Female,36,2,0.783333333,1,72,1,4
1,1,Female,36,2,0.783333333,1,72,1,5
1,1,Female,36,2,0.783333333,1,72,1,6
1,1,Female,36,2,0.783333333,1,72,1,7
1,1,Female,36,2,0.783333333,1,72,1,8
1,1,Female,36,2,0.783333333,1,72,1,9
1,1,Female,36,2,0.783333333,1,72,1,10
1,1,Female,36,2,0.783333333,1,72,1,11
1,1,Female,36,2,0.783333333,1,72,1,12
1,1,Female,68,2,1.216666667,1,72,1,1
1,1,Female,68,2,1.216666667,1,72,1,2
1,1,Female,68,2,1.216666667,1,72,1,3
1,1,Female,68,2,1.216666667,1,72,1,4
1,1,Female,68,2,1.216666667,1,72,1,5
1,1,Female,68,2,1.216666667,1,72,0,6
1,1,Female,68,2,1.216666667,1,72,1,7
1,1,Female,68,2,1.216666667,1,72,1,8
1,1,Female,68,2,1.216666667,1,72,1,9
1,1,Female,68,2,1.216666667,1,72,1,10
1,1,Female,68,2,1.216666667,1,72,1,11
1,1,Female,68,2,1.216666667,1,72,1,12
1,1,Male,35,2,0.283333333,1,72,1,1
1,1,Male,35,2,0.283333333,1,72,1,2
1,1,Male,35,2,0.283333333,1,72,1,3
1,1,Male,35,2,0.283333333,1,72,0,4
1,1,Male,35,2,0.283333333,1,72,1,5
1,1,Male,35,2,0.283333333,1,72,0,6
1,1,Male,35,2,0.283333333,1,72,1,7
1,1,Male,35,2,0.283333333,1,72,0,8
1,1,Male,35,2,0.283333333,1,72,1,9
1,1,Male,35,2,0.283333333,1,72,0,10
1,1,Male,35,2,0.283333333,1,72,1,11
1,1,Male,35,2,0.283333333,1,72,0,12
2,1,Female,46,4,1.2,2,80,1,1
2,2,Female,46,4,1.2,2,80,1,2
2,1,Female,46,4,1.2,2,80,1,3
2,1,Female,46,4,1.2,2,80,1,4
2,2,Female,46,4,1.2,2,80,1,5
2,2,Female,46,4,1.2,2,80,1,6
2,2,Female,46,4,1.2,2,80,1,7
2,1,Female,46,4,1.2,2,80,1,8
2,2,Female,46,4,1.2,2,80,1,9
2,2,Female,46,4,1.2,2,80,1,10
2,2,Female,46,4,1.2,2,80,1,11
2,2,Female,46,4,1.2,2,80,1,12
2,1,Female,57,4,1.683333333,2,80,1,1
2,2,Female,57,4,1.683333333,2,80,1,2
2,1,Female,57,4,1.683333333,2,80,1,3
2,1,Female,57,4,1.683333333,2,80,1,4
2,2,Female,57,4,1.683333333,2,80,1,5
2,2,Female,57,4,1.683333333,2,80,1,6
2,2,Female,57,4,1.683333333,2,80,1,7
2,1,Female,57,4,1.683333333,2,80,1,8
2,2,Female,57,4,1.683333333,2,80,1,9
2,2,Female,57,4,1.683333333,2,80,1,10
2,2,Female,57,4,1.683333333,2,80,1,11
2,2,Female,57,4,1.683333333,2,80,1,12
2,1,Female,35,4,0.4,2,80,1,1
2,2,Female,35,4,0.4,2,80,0,2
2,1,Female,35,4,0.4,2,80,1,3
2,1,Female,35,4,0.4,2,80,1,4
2,2,Female,35,4,0.4,2,80,1,5
2,2,Female,35,4,0.4,2,80,1,6
2,2,Female,35,4,0.4,2,80,1,7
2,1,Female,35,4,0.4,2,80,1,8
2,2,Female,35,4,0.4,2,80,0,9
2,2,Female,35,4,0.4,2,80,0,10
2,2,Female,35,4,0.4,2,80,1,11
2,2,Female,35,4,0.4,2,80,1,12
2,1,Male,29,4,0.85,2,80,1,1
2,2,Male,29,4,0.85,2,80,1,2
2,1,Male,29,4,0.85,2,80,0,3
2,1,Male,29,4,0.85,2,80,1,4
2,2,Male,29,4,0.85,2,80,1,5
2,2,Male,29,4,0.85,2,80,1,6
2,2,Male,29,4,0.85,2,80,0,7
2,1,Male,29,4,0.85,2,80,0,8
2,2,Male,29,4,0.85,2,80,1,9
2,2,Male,29,4,0.85,2,80,0,10
2,2,Male,29,4,0.85,2,80,1,11
2,2,Male,29,4,0.85,2,80,0,12
2,1,Female,48,4,1.7,2,80,1,1
2,2,Female,48,4,1.7,2,80,1,2
2,1,Female,48,4,1.7,2,80,1,3
2,1,Female,48,4,1.7,2,80,1,4
2,2,Female,48,4,1.7,2,80,1,5
2,2,Female,48,4,1.7,2,80,1,6
2,2,Female,48,4,1.7,2,80,1,7
2,1,Female,48,4,1.7,2,80,1,8
2,2,Female,48,4,1.7,2,80,1,9
2,2,Female,48,4,1.7,2,80,1,10
2,2,Female,48,4,1.7,2,80,1,11
2,2,Female,48,4,1.7,2,80,1,12
2,1,Male,41,4,0.25,2,80,0,1
2,2,Male,41,4,0.25,2,80,0,2
2,1,Male,41,4,0.25,2,80,1,3
2,1,Male,41,4,0.25,2,80,1,4
